,...1,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52
27,1108,2622,2702,148,535,24,61,3498,3520,664,1779,1245,3823,849,579,2353,1803,484,1878,514,973,394,2005,2611,595,716,3,2386,765,1139,1,2549,4707,3062,2474,4147,1030,928,452,415,3067,1383,3626,1978,2183,36,853,912,2582,5197,143,243
28,28,320,1684,891,448,2350,33,0,0,2237,62,0,393,889,2498,273,0,170,1574,9,0,499,1533,0,18,0,0,49,13,1355,6447,2,0,1300,59,0,74,125,18,177,1,236,93,33,0,0,0,0,0,0,0,0
29,108,0,0,8882,188,7174,2380,0,0,880,8,0,32,5673,2112,499,17,566,2840,0,0,3710,2741,0,340,0,0,0,0,641,10747,0,0,151,65,0,51,22,0,44,0,11,0,58,0,0,0,0,0,0,0,0
30,0,17,489,277,242,109,51,0,36,444,18,0,666,669,704,352,25,663,673,8,15,802,660,0,93,26,0,1,9,48,1207,0,28,170,0,0,7,58,75,172,0,614,120,318,316,0,47,6,340,81,0,5
,94908,99039,92121,96681,98150,99309,93838,98020,94448,95009,98543,96099,98500,96744,96058,97721,96760,97626,96012,96829,100602,99494,97524,98175,98312,91155,80900,94935,97378,93473,96625,95375,94720,94636,96525,93789,96009,98336,101093,100420,96616,95777,96903,98728,95857,94072,96128,99668,97478,96113,102105,95102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.033063598,0.020971536,0.034085605,0.020334916,0.02195619,0.019071786,0.020055841,0.022505611,0.025347281,0.025387069,0.023614057,0.198909458,0.150263959,0.046194079,0.142153699,0.049027333,0.090988012,0.069018499,0.04738991,0.065868696,0.074879227,0.076054837,0.047126861,0.07218742,0.086896818,0.04485766,0.031161928,0.037678412,0.037226067,0.037775614,0.037981889,0.036152031,0.032326858,0.038959804,0.037523958,0.056595123,0.038798446,0.18775423,0.139534884,0.153335989,0.132503933,0.067709367,0.088387356,0.043169111,0.075591767,0.05737095,0.071186335,0.057561103,0.077237941,0.081196092,0.053278488,0.060040798
2,0.224259283,0.129231919,0.148446066,0.223870254,0.186541009,0.194171727,0.324111767,0.212426036,0.09196595,0.146470334,0.195620186,0.182447268,0.158548223,0.131625734,0.159122613,0.12855988,0.1581852,0.138569643,0.13291047,0.144522819,0.137363074,0.088206324,0.133505599,0.087323657,0.193913256,0.112204487,0.019765142,0.142813504,0.178110045,0.107977705,0.164698577,0.13240367,0.139864865,0.154233061,0.097311577,0.183528985,0.199606287,0.158883827,0.256842709,0.207199761,0.202181833,0.147801664,0.214967545,0.183919455,0.178620236,0.159324773,0.215899634,0.125737448,0.175054884,0.137827349,0.161588561,0.136358857
3,0.101803852,0.089853492,0.126540094,0.023489621,0.04552216,0.026050006,0.037660649,0.067710671,0.162046841,0.041059268,0.132165654,0.04482877,0.08035533,0.045222443,0.036144829,0.061777919,0.075423729,0.04978182,0.04781694,0.135382995,0.131259816,0.067632219,0.052951068,0.131836007,0.098624786,0.143897757,0.399987639,0.183472903,0.127759864,0.123607887,0.024993532,0.243826999,0.225179476,0.134473139,0.107940948,0.113371504,0.06307742,0.059174666,0.080262728,0.034973113,0.069025834,0.087641083,0.094682311,0.070709424,0.112177514,0.188111234,0.154856025,0.159218606,0.107942305,0.075910647,0.12546888,0.144139976
4,0.053504446,0.028544311,0.037222783,0.006754171,0.004839531,0.003715675,0.003218312,0.002917772,0.036549212,0.022208422,0.038653177,0.004703483,0.020010152,0.015050029,0.017364509,0.091587274,0.022116577,0.033812714,0.035485148,0.054570428,0.055128129,0.036052425,0.035980887,0.058568882,0.036251933,0.12140859,0.131260816,0.035076631,0.014058617,0.070715608,0.001697283,0.029420708,0.020777027,0.017984699,0.046961927,0.036827346,0.010842733,0.014409779,0.020011277,0.003624776,0.008683862,0.0474331,0.028626565,0.02668949,0.038025392,0.073050429,0.019890146,0.056537705,0.040963089,0.017479425,0.029391313,0.101922147
5,0.017585451,0.000232232,0.002702967,0.000299956,0.00080489,7.04871E-05,0.0006394,0.00035707,0.001365831,0.003673336,0.009863714,0.004328869,0.002771574,0.008310593,0.000791189,0.003714657,0.00756511,0.004804048,0.012821314,0.025746419,0.030834377,0.014664201,0.012509741,0.029019608,0.024361217,0.025045253,0.01487021,0.002580713,0.003347779,0.001572647,6.20957E-05,0.000314548,0.000105574,0.00099328,0.007479927,0.002761518,0.001791499,0.006599821,0.00367978,0,0.000910822,0.005826033,0.006346553,0.002856333,0.008637867,0.043275364,0.013221954,0.029447767,0.009243111,0.015148835,0.033191323,0.059178566
6,0.171734733,0.290582498,0.224758741,0.085673504,0.156107998,0.118690149,0.09345894,0.362579065,0.249671777,0.086412866,0.145966735,0.10427788,0.088121827,0.06619532,0.06763622,0.034680366,0.100651095,0.038975273,0.055576386,0.095487922,0.127005427,0.08862846,0.059892949,0.15372549,0.110434128,0.140661511,0.15986403,0.25683889,0.441639795,0.190097675,0.060771022,0.354558322,0.349165963,0.204488778,0.149432789,0.149057992,0.123800894,0.137365766,0.080856241,0.087761402,0.119855924,0.058907671,0.071514814,0.050006077,0.104488978,0.128486691,0.110373668,0.135810892,0.102802684,0.133904883,0.189040693,0.111564426
7,0.026151642,0.003897455,0.012863516,0.002978869,0.005399898,0.003222266,0.010528784,0.008406448,0.020053363,0.010472692,0.029428777,0.012861736,0.008263959,0.02324692,0.005600783,0.022247009,0.027986771,0.010642657,0.018955964,0.047640686,0.064680623,0.026715179,0.022661089,0.060891266,0.038540565,0.039822281,0.019653894,0.022615474,0.015670891,0.020465803,0.004429495,0.00938401,0.011919341,0.010926075,0.017094017,0.008966936,0.010103219,0.021945168,0.010030368,0.001553475,0.008394055,0.010388715,0.024973427,0.017897658,0.020353235,0.133153329,0.043140396,0.053337079,0.019132522,0.033034033,0.052191372,0.058358394
8,0.094228095,0.120275851,0.148543763,0.157642143,0.188405502,0.160640023,0.132217225,0.061242604,0.049752245,0.174572935,0.096465502,0.049168045,0.114751269,0.057378235,0.112858898,0.112954227,0.102470029,0.169473296,0.122255551,0.156988092,0.11229399,0.103704746,0.120544686,0.052824039,0.1045142,0.057374801,0.085463535,0.123642492,0.090533796,0.131513913,0.113645537,0.063549148,0.045850929,0.2087789,0.134638695,0.147320048,0.094303659,0.050734217,0.153353843,0.090211113,0.085110127,0.167315744,0.145630166,0.132981525,0.122766204,0.077313122,0.101229611,0.084340009,0.120437432,0.101276622,0.055648597,0.026645076
9,0.043357778,0.059693656,0.049782351,0.079333064,0.102649007,0.077173267,0.06803214,0.023056519,0.007951465,0.146670315,0.022223801,0.024599632,0.028832487,0.078671546,0.055997418,0.085385946,0.021785862,0.123635097,0.081896013,0.011422198,0.005278225,0.106408427,0.081221033,0.036129361,0.027565302,0.016422577,0.004066749,0.045083478,0.008985602,0.03364608,0.036822768,0.008754915,0.007981419,0.054271102,0.076498316,0.052223608,0.024789343,0.009996339,0.017310793,0.045319657,0.011167922,0.08567819,0.026015706,0.1802123,0.028177389,0.000287014,0.012316911,0.019705422,0.028878311,0.06428891,0.000577837,0.000599356
10,0.05682345,0.082492755,0.037049098,0.030326538,0.006917983,0.02304927,0.008354824,0.000489696,0.006267999,0.062215159,0.027216545,0.000176901,0.031634518,0.019629124,0.038841117,0.143080812,0.021052088,0.043431053,0.065908428,0.011845625,0.005327926,0.041298973,0.063051146,0.009258976,0.016447636,0.005923976,0.087923362,0.051614262,0.008995872,0.076150332,0.036098318,0.00370118,0.001013514,0.021640813,0.044724165,0.020002346,0.004874543,0.009325171,0.007013344,0.006612229,0.003343132,0.063532999,0.027563646,0.053510656,0.013551436,0.001275619,0.00115471,0.019605089,0.014844375,0.003651951,0.000107732,0.000452146
11,0.017859401,0.052009814,0.022177354,0.001489434,0.008466633,0.000745149,0.003729832,0.006651704,0.000116466,0.018966624,0.007062907,0.00127993,0.010294416,0.006708426,0.023027754,0.004727745,0.005994212,0.01959519,0.025226013,0,0.000546709,0.015649185,0.024096633,0.013822256,0.000762877,0.00370797,0.001063041,0.016168958,4.1077E-05,0.027408984,0.000279431,0.002422018,0,0.005272835,0.035742036,0.005427076,0.000739514,0.000416938,0.001038648,0.004172476,0.00165604,0.006953653,0.009339236,0.042642411,0.003849484,0,0,0.005518321,0.00393935,0.015731483,0,0.000483691
12,0.032326042,0.025535395,0.002659546,0.005812931,0.000866021,0.009958815,0.00118289,0,0.001365831,0.012830363,0.011051013,0,0.010649746,0.006532705,0.02179933,0.065083247,0.007978504,0.02150042,0.030860726,0.001363228,0.000377726,0.019438358,0.028557073,0.000315763,0.001261291,0.002786463,0.029196539,0.006109443,0.00083181,0.029527243,0.002121604,2.09699E-05,0,0.001606154,0.010753691,0.004222244,0.001322793,0.007931988,0.000247297,8.96236E-05,0.000134553,0.015859758,0.009586906,0.038459201,0.002545458,0.000574028,0,0.004665489,0.003446932,5.20221E-05,0,0
13,0.024918869,0.046254506,0.060757048,0.160093503,0.246520632,0.163922706,0.135648671,0.156702714,0.246558953,0.172941511,0.200836183,0.350804899,0.223350254,0.196528984,0.230485748,0.089591797,0.273945845,0.206615041,0.150147898,0.203544393,0.159778136,0.170854524,0.148958205,0.193053221,0.206821141,0.165454446,0.000766378,0.013261705,0.039187496,0.045681641,0.110892626,0.066736566,0.060663007,0.061181791,0.160870241,0.160999691,0.403222615,0.303866336,0.215445184,0.35229038,0.299432806,0.18724746,0.17890055,0.099627259,0.22128796,0.127806361,0.233990097,0.180198258,0.219331541,0.232798893,0.266235738,0.216546445
14,0.004572849,0,0.000303948,0.082053351,0.001691289,0.076538884,0.11741512,0,0,0.007378248,0.000365323,0,0.000335025,0.103148516,0.009286056,0.000511661,0.000165358,0.022483765,0.022455526,0,0,0.031569743,0.021225544,0,0.000406868,0,0,0.000115869,0,0.000909354,0.061919793,0,0,0.000401539,0.004112924,0,0.000197898,0,0,1.99164E-05,0,0,0,0.006786322,0,0,0,0,0,0.000228897,0,0
15,0.000863995,0,0,0.004116631,0,0.006424393,0.008472048,0,0,0.00017893,2.02957E-05,0,0,0.069399653,0,0.000327463,0,0.001382828,0.000166646,0,0,8.04069E-05,0.000133301,0,0,0,0,0,0,0,0.130007762,0,0,0,0,0,0,0,0,0,0,0,0,0.000192448,0,0,0,0,0,0,0,0
16,0.017754035,0.00037359,0,0.000517165,0.000295466,0.005608757,0.000745966,0,0,0.002252418,0.00099449,0,0.000111675,0.007504341,1.04104E-05,0.009281526,0,0.002530064,0.010977794,0,0,0.007447685,0.010274394,0,6.10302E-05,0,2.47219E-05,0.000147469,0,0.004129535,0.001428202,0,0,0.000285304,0.003729604,0,0,0.001403352,0,0,0,0.002213475,0,0.004213597,0,0,0,0,0,0,0,0
17,0.009672525,0.000535143,0.000987831,0.000134463,0.00020377,5.03479E-05,5.32833E-05,5.101E-05,0.000677622,0.004725868,0.001968684,0.000228931,0.003076142,0.002759861,0.002134127,0.013630642,0.006614303,0.004466023,0.023788693,0.011845625,0.023041291,0.016774881,0.022620073,0.007048638,0.008706974,0.024880698,0.002818294,0.002370043,8.21541E-05,0.000588405,0.00014489,0,1.05574E-05,0.000200769,0.002631443,0.001279468,0.000302055,0.001179629,0.001335404,0,0.000196655,0.0047715,0.005469387,0.0054088,0.006885256,0.006356833,0.001768475,0.008277481,0.00716059,0.002549083,0.010871162,0.055435217
18,0.008576727,2.01941E-05,0.000162829,0,0.000142639,1.00696E-05,0,0.000428484,0,0.001652475,0.00014207,0,0,0.002532457,0,0,0.009053328,0,0.005384744,0.000774561,0.003886603,0.000974933,0.005116689,0.008240387,0.000640817,0.002413472,0.000123609,0.000410807,6.16156E-05,0.000641897,0,0,1.05574E-05,1.05668E-05,4.144E-05,0,0.000541616,6.10153E-05,0,0,0,0,0,1.01288E-05,0,0,0,0.0002107,0,0.000239302,0.000372166,0.000262876
19,0.014487714,0.003958037,0.031730007,0.007519575,0.007386653,0.011449113,0.006500565,0.035431545,0.055924953,0.009441211,0.026607674,0.00606666,0.007299492,0.01144257,0.004996981,0.004226318,0.027635387,0.000911642,0.018591426,0.016048911,0.032931751,0.015649185,0.019923301,0.040071301,0.025958174,0.031067961,0.001829419,0.028408911,0.024789994,0.034940571,0.003994825,0.021651376,0.051425253,0.033824337,0.01018389,0.007484886,0.007884677,0.011562398,0.006182426,0.004451305,0.022170241,0.005711183,0.007481709,0.009754072,0.014605089,0.002434306,0.008176598,0.027742104,0.014536613,0.023118621,0.01798149,0.009284768
20,0.007944536,0.00010097,0.000119408,0.000103433,0,0,0.000170507,0,0.002244621,0,0.000679906,4.16237E-05,0.004477157,5.16828E-05,0.00164484,0.003100664,0.000392724,0.002038391,0,0.001580105,0.006968052,0,0,0.001497326,2.03434E-05,0.001755252,0,5.26676E-05,1.02693E-05,0.003819285,0,6.29096E-05,7.3902E-05,0,0.004734525,0.000458476,0.000124988,0.000854214,1.97838E-05,0,0.000341558,0.000689101,0.003477705,2.02577E-05,0.005362154,0,0.000540945,0.002317695,0.006534808,0.000228897,2.93815E-05,0.000420601
21,0.002455009,0.00330173,0.00186711,0,0.000142639,0.000342366,0,0.003142216,0,0,0.00321687,0,0,0.003100968,0,0,0.000692435,0,0,0.000113602,0.000546709,0.000221119,0,0.002322383,0.000793392,0.000482694,0,0,0,0.000652595,0.000113842,0,0,0,0.002444962,0.00229238,0,3.05076E-05,0,0,1.03503E-05,0,0,0,3.12966E-05,0,0,0.000130433,4.10349E-05,0.002309781,0.000215464,0.000115665
22,0.016152485,0.009975868,0.004125009,0.001934196,0.000682629,0.001067376,0.00025576,0.000173434,0.001545824,0.005473166,0.003277757,0.000478673,0.005005076,0.001633176,0.006579358,0.033206783,0.013156263,0.014309713,0.014519018,0.006702537,0.008399435,0.015779846,0.013729954,0.011662847,0.005482545,0.04958587,0.009802225,0.00409754,0.00042104,0.021268174,0.000227684,0.000199214,0.000696791,0.000929879,0.014037814,0.002857478,0.000989491,0.002572812,0.001355188,0,0.000952223,0.010795911,0.007987369,0.00671542,0.007782426,0.000797262,0.000572154,0.018842557,0.008863538,0.004109746,0.001900005,0.015572753
23,0.002897543,0.002271832,0,0,4.07539E-05,0.000785427,0,0,0,0.000547317,0.001786022,0,0.000121827,0.001343753,0,0.006252494,2.06697E-05,0.001813042,0.001926842,0,0.000377726,0.001397069,0.001743161,0.000213904,0.000233949,0.001733311,0.000321384,0.000136936,0,0.000780974,0,0,0,0,0.002154882,0,0,0.001077937,0,0,0.000362259,4.17637E-05,0.001176434,0,1.04322E-05,0,0,0.000260866,0.000102587,0,0.000225258,0
24,0.001485649,1.0097E-05,0.000195395,4.13732E-05,2.0377E-05,0,5.32833E-05,4.0808E-05,0.002943419,0,0.001745431,0.001841851,0.001837563,7.23559E-05,0.002165358,0.000552594,0.007058702,0.000757995,0.002395534,0.003067263,0.009274169,0,0.003024896,0.003330787,0.00066116,0.000372991,0,0.00164323,0.000164308,0.00148706,0,9.43644E-05,0.002945524,5.2834E-05,0.000911681,0.000106622,0.000583279,0.001332167,8.90269E-05,0,0.001811294,5.22046E-05,0.006986368,4.05154E-05,0.009180342,0,0.002319824,0.001324397,0.009530356,0,0.000284021,1.0515E-05
25,0.000716483,0,0,0,0,0,0,0,0,0,0,0,0,0.003690151,1.04104E-05,0.000910756,0,0.000163891,0,0,0,0.00047239,0,6.11154E-05,0,0,0,0,0,0.000588405,0,0,0,0,0.001129241,0,0,0,0,0.000338578,0,0,0.001269311,0,0,0,0,0,0,0,0,0
26,0.00169638,0,0,0,0,0,0.000586116,0,0,0,8.11828E-05,0,0,0.008506988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017221216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.011674464,0.026474419,0.029330989,0.001530808,0.005450841,0.00024167,0.000650056,0.035686595,0.037269185,0.006988812,0.018053033,0.01295539,0.038812183,0.008775738,0.006027608,0.024078755,0.018633733,0.004957696,0.019560055,0.005308327,0.009671776,0.003960038,0.020559042,0.026595365,0.00605216,0.007854753,3.70828E-05,0.025132986,0.007855984,0.012185337,1.03493E-05,0.026726081,0.049693834,0.032355552,0.025630666,0.044216273,0.010728161,0.009437032,0.004471131,0.004132643,0.031744225,0.014439792,0.037418862,0.020034843,0.022773506,0.000382686,0.008873585,0.009150379,0.026488028,0.05407177,0.001400519,0.002555151
28,0.000295023,0.00323105,0.018280305,0.009215875,0.004564442,0.023663515,0.00035167,0,0,0.023545138,0.000629167,0,0.003989848,0.0091892,0.026005122,0.002793668,0,0.001741339,0.016393784,9.29474E-05,0,0.005015378,0.015719208,0,0.000183091,0,0,0.000516143,0.0001335,0.014496165,0.066721863,2.09699E-05,0,0.013736844,0.000611241,0,0.000770761,0.001271152,0.000178054,0.001762597,1.03503E-05,0.002464057,0.000959723,0.000334252,0,0,0,0,0,0,0,0
29,0.001137944,0,0,0.091869137,0.001915436,0.072239173,0.025362859,0,0,0.00926228,8.11828E-05,0,0.000324873,0.058639295,0.021986716,0.005106374,0.000175692,0.005797636,0.029579636,0,0,0.037288681,0.028105902,0,0.003458377,0,0,0,0,0.006857595,0.111223803,0,0,0.001595587,0.000673401,0,0.0005312,0.000223723,0,0.00043816,0,0.00011485,0,0.000587473,0,0,0,0,0,0,0,0
30,0,0.00017165,0.005308236,0.002865092,0.002465614,0.001097584,0.00054349,0,0.000381162,0.004673241,0.000182661,0,0.006761421,0.006915158,0.007328905,0.003602092,0.000258371,0.006791224,0.00700954,8.26199E-05,0.000149102,0.008060788,0.006767565,0,0.000945968,0.000285228,0,1.05335E-05,9.24233E-05,0.000513517,0.012491591,0,0.000295608,0.001796357,0,0,7.29098E-05,0.000589815,0.000741891,0.001712806,0,0.006410725,0.001238352,0.003220971,0.003296577,0,0.000488931,6.01999E-05,0.003487967,0.000842758,0,5.25751E-05
,94908,99039,92121,96681,98150,99309,93838,98020,94448,95009,98543,96099,98500,96744,96058,97721,96760,97626,96012,96829,100602,99494,97524,98175,98312,91155,80900,94935,97378,93473,96625,95375,94720,94636,96525,93789,96009,98336,101093,100420,96616,95777,96903,98728,95857,94072,96128,99668,97478,96113,102105,95102
